,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수
262,2020,2,A,골목상권,1000315,노해로17길,8
263,2020,2,A,골목상권,1000316,노해로23길,8
264,2020,2,A,골목상권,1000317,노해로33길,1
265,2020,2,A,골목상권,1000318,덕릉로40길,12
266,2020,2,A,골목상권,1000319,덕릉로41길,8
267,2020,2,A,골목상권,1000320,도봉로13길,1
268,2020,2,A,골목상권,1000321,도봉로18길,7
269,2020,2,A,골목상권,1000322,도봉로45길,16
270,2020,2,A,골목상권,1000323,도봉로67길,12
271,2020,2,A,골목상권,1000324,도봉로76길,16
272,2020,2,A,골목상권,1000325,도봉로8길,2
273,2020,2,A,골목상권,1000326,도봉로99길,3
274,2020,2,A,골목상권,1000327,삼각산로28길,3
275,2020,2,A,골목상권,1000328,삼양로20길,1
276,2020,2,A,골목상권,1000329,삼양로24길,7
277,2020,2,A,골목상권,1000330,삼양로27길,10
278,2020,2,A,골목상권,1000331,삼양로41길,22
279,2020,2,A,골목상권,1000332,삼양로54길,6
280,2020,2,A,골목상권,1000333,삼양로77길,14
281,2020,2,A,골목상권,1000334,삼양로93길,3
282,2020,2,A,골목상권,1000335,솔매로41길,6
283,2020,2,A,골목상권,1000336,솔매로45길,10
284,2020,2,A,골목상권,1000337,솔매로50길,32
285,2020,2,A,골목상권,1000338,솔샘로65길,10
286,2020,2,A,골목상권,1000339,수유로12길,23
287,2020,2,A,골목상권,1000340,오패산로30길,8
288,2020,2,A,골목상권,1000341,오패산로52길,14
289,2020,2,A,골목상권,1000342,오패산로67길,16
290,2020,2,A,골목상권,1000343,인수봉로56길,4
291,2020,2,A,골목상권,1000344,인수봉로72길,6
292,2020,2,A,골목상권,1000345,인수봉로79길,4
293,2020,2,A,골목상권,1000346,한천로109길,37
294,2020,2,A,골목상권,1000347,한천로124나길,14
295,2020,2,A,골목상권,1000348,한천로130길,3
296,2020,2,A,골목상권,1000349,한천로132길,15
297,2020,2,A,골목상권,1000350,한천로139가길,5
298,2020,2,A,골목상권,1000351,한천로140길,6
